"AttributeID","AttributeName"
1,"Valence"
2,"Arousal"
3,"Tension"
4,"Atmospheric"
5,"Happy"
6,"Dark"
7,"Sad"
8,"Angry"
9,"Sensual"
10,"Sentimental"
